district,id,incumbent_name,inc_party,pres_24,leading_party,proj_margin,caucus_margin,win_pct
35,sldl:35,OPEN,R,0.7294,R,0.6217,0.6217,1.0
36,sldl:36,David Green,R,0.6008,R,0.4582,0.4582,1.0
37,sldl:37,Marty Gearheart,R,0.4586,R,0.4094,0.4094,1.0
38,sldl:38,Joe Ellington,R,0.5642,R,0.4627,0.4627,1.0
39,sldl:39,OPEN,R,0.6537,R,0.5859,0.5859,1.0
40,sldl:40,Roy Cooper,R,0.5655,R,0.4275,0.4275,1.0
41,sldl:41,Jordan Maynor,R,0.6495,R,0.5394,0.5394,1.0
42,sldl:42,John Jordan,R,0.6696,R,0.5176,0.5176,1.0
43,sldl:43,Chris Toney,R,0.6863,R,1.0,1.0,1.0
44,sldl:44,Bill Roop,R,0.1805,R,0.1038,0.1038,0.8913
45,sldl:45,Eric Brooks,R,0.5223,R,0.4833,0.4833,1.0
46,sldl:46,Jeff Campbell,R,0.3949,R,0.3449,0.3449,0.9999
47,sldl:47,Ray Canterbury,R,0.4529,R,0.3684,0.3684,1.0
48,sldl:48,Greg Watt,R,0.6178,R,0.4753,0.4753,1.0
49,sldl:49,Stan Adkins,R,0.6163,R,0.488,0.488,1.0
50,sldl:50,Elliott Pritt,R,0.3929,R,0.3438,0.3438,0.9998
51,sldl:51,Marshall Clay,R,0.452,R,0.3131,0.3131,0.9996
52,sldl:52,Tresa Howell,R,0.2532,R,0.1618,0.1618,0.9669
53,sldl:53,Tristan Leavitt,R,0.2722,R,0.1517,0.1517,0.96
54,sldl:54,Mike Pushkin,D,-0.3912,D,0.5095,-0.5095,1.0
55,sldl:55,J.B. Akers,R,0.1171,R,0.1089,0.1089,0.8985
56,sldl:56,Kayla Young,D,0.1036,D,1.0,-1.0,1.0
57,sldl:57,Hollis Lewis,D,-0.0508,D,1.0,-1.0,1.0
58,sldl:58,Walter Hall,R,0.1526,R,0.1455,0.1455,0.9534
59,sldl:59,Andy Shamblin,R,0.2621,R,0.2134,0.2134,0.9905
60,sldl:60,Dana Ferrell,R,0.4432,R,0.4004,0.4004,1.0
61,sldl:61,Dean Jeffries,R,0.5262,R,0.4812,0.4812,1.0
62,sldl:62,Roger Hanshaw,R,0.6342,R,0.5894,0.5894,1.0
63,sldl:63,Lori Dittman,R,0.5169,R,0.4734,0.4734,1.0
64,sldl:64,Adam Burkhammer,R,0.6003,R,1.0,1.0,1.0
65,sldl:65,Robbie Martin,R,0.5331,R,0.4776,0.4776,1.0
66,sldl:66,Jonathan Kyle,R,0.5155,R,0.3795,0.3795,1.0
67,sldl:67,OPEN,R,0.4571,R,0.4001,0.4001,1.0
68,sldl:68,Chris Phillips,R,0.6184,R,1.0,1.0,1.0
69,sldl:69,Keith Marple,R,0.5468,R,0.511,0.511,1.0
70,sldl:70,OPEN,R,0.2128,R,0.098,0.098,0.877
71,sldl:71,Laura Kimble,R,0.3281,R,0.2957,0.2957,0.9994
72,sldl:72,Clay Riley,R,0.5813,R,1.0,1.0,1.0
73,sldl:73,OPEN,R,0.515,R,0.461,0.461,1.0
74,sldl:74,OPEN,R,0.4111,R,0.357,0.357,0.9999
75,sldl:75,Phil Mallow,R,0.3023,R,0.1155,0.1155,0.9114
76,sldl:76,Rick Garcia,D,0.189,D,0.0201,-0.0201,0.5954999999999999
77,sldl:77,Joe Statler,R,0.39,R,0.3576,0.3576,1.0
78,sldl:78,Geno Chiarelli,R,0.1745,R,0.0681,0.0681,0.7925
79,sldl:79,Evan Hansen,D,-0.3459,D,1.0,-1.0,1.0
80,sldl:80,OPEN,D,-0.1052,D,1.0,-1.0,1.0
81,sldl:81,Anitra Hamilton,D,-0.2191,D,1.0,-1.0,1.0
82,sldl:82,Dave McCormick,R,0.0585,R,0.0066,0.0066,0.5328
83,sldl:83,George Street,R,0.5531,R,1.0,1.0,1.0
84,sldl:84,Buck Jennings,R,0.5851,R,0.5516,0.5516,1.0
85,sldl:85,OPEN,R,0.671,R,0.6192,0.6192,1.0
86,sldl:86,OPEN,R,0.574,R,0.5237,0.5237,1.0
87,sldl:87,Gary Howell,R,0.5687,R,0.5429,0.5429,1.0
88,sldl:88,Rick Hillenbrand,R,0.6604,R,0.55,0.55,1.0
89,sldl:89,David Cannon,R,0.5916,R,0.5357,0.5357,1.0
90,sldl:90,George Miller,R,0.5449,R,0.5156,0.5156,1.0
91,sldl:91,OPEN,R,0.4789,R,0.4313,0.4313,1.0
92,sldl:92,Mike Hite,R,0.3844,R,0.3535,0.3535,0.9999
93,sldl:93,Mike Hornby,R,0.197,R,1.0,1.0,1.0
94,sldl:94,Larry Kump,R,0.3387,R,0.3114,0.3114,0.9997
95,sldl:95,Chuck Horst,R,0.3583,R,0.301,0.301,0.9996
96,sldl:96,OPEN,R,0.3792,R,0.3499,0.3499,0.9998
97,sldl:97,Chris Anders,R,0.1668,R,0.0632,0.0632,0.7774
98,sldl:98,Joe Funkhouser,R,0.3005,R,0.2657,0.2657,0.9974
99,sldl:99,Wayne Clark,R,0.1377,R,0.106,0.106,0.8963
100,sldl:100,Bill Ridenour,R,0.0985,R,0.0263,0.0263,0.6271
